Name,zipcode,lat,long,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Museum of Tolerance,90035,34.050751,-118.3841777,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Clutter’s Park,90245,33.9150066,-118.4046264,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Central Garden,91331,34.2570374,-118.4279933,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Franklin D. Murphy Sculpture Garden,90024,34.0631451,-118.4367551,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
African American Cultural Center,90043,33.9903827,-118.3286614,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Autry Museum of the American West,90027-1462,34.1220545,-118.2935891,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Los Encinos State Historic Park,91436,34.1540054,-118.4922355,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Loyola Marymount University,90045,33.9516114,-118.3875775,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Royal Palms State Beach,90732,33.7349075,-118.3140488,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Lankershim Art Gallery,91601,34.1658804,-118.3637264,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Melrose Avenue,90046,34.1147313,-118.3637264,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Milk and Honey Contemporary Art in California,90042,34.1175895,-118.188329,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Topanga State Park,90290,34.1076983,-118.61481,Clear,Clouds,Clear,Clear,Clear,Rain,Clear,Clear,Clear,Clear
Cathedral of Our Lady of the Angels,90012-2707,34.0653347,-118.243891,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Venice Canals Walkway,90292,33.9684276,-118.4571974,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Metro Rail,90012-2952,34.0653347,-118.243891,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Melrose Trading Post,90048,34.0741548,-118.3724915,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Temescal Gateway Park,90270,33.9876248,-118.1854042,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Dunbar Hotel,90011,34.007889,-118.2585096,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Citadel Outlets,90040,33.9930471,-118.153228,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
The Great Wall of Los Angeles,91401,34.1789379,-118.4338345,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Crown City Theater,91602,34.1487141,-118.3608046,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Ernest E Debs Regional Park,90032,34.0795169,-118.1766294,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Curated Gnomes,91007,34.1216975,-118.0478826,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
San Fernando Valley Relics Museum,91311,34.2710376,-118.61481,Clear,Clouds,Clear,Clear,Clear,Rain,Clear,Clear,Clear,Clear
MorYork Gallery,90065,34.10885,-118.2234229,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
The Ebony Repertory Theatre,90016,34.0255188,-118.3520389,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
The Latino Museum of History, Art and Culture,90018,34.0309972,-118.319894,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Kenneth Hahn State Recreation Area,90056,33.9885683,-118.3666482,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Bullocks Wilshire Building,90010,34.0625448,-118.3089341,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Leimert Park Village,90008,34.0083231,-118.3491169,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Farmer John's Murals at the Clougherty Packing Company,90058,34.00637469999999,-118.2234229,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Eagle Rock,90041,34.13224690000001,-118.2117257,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Zen Center of Los Angeles,90006,34.0470832,-118.2965121,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Upper Las Virgenes Canyon Open Space Preserve,91307,34.2124444,-118.6848112,Clear,Clouds,Clear,Clear,Clear,Rain,Clear,Clear,Clear,Clear
MacLeod Ale Brewing House,91411,34.1799855,-118.4601175,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
