Name,zipcode,lat,long,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Stephen A. Schwarzman Building,10018-2788,40.755322,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Malcolm Shabazz Harlem Market,10026,40.8032131,-73.95258249999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
David Beitzel Gallery,10012-5416,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Empire State Building,10118,40.74843,-73.98564999999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
FDNY Memorial Wall,10006,40.709329,-74.0131196,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
New York Public Library for the Performing Arts,10023-7486,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
ExtraVertical Climbing Center,10023-7015,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Heller Gallery,10014,40.7366138,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Matthew Marks Gallery,10011-1108,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Vivian Beaumont Theater - Macbeth,1--23,33.02390320000001,39.5873451,Clear,Clear,Rain,Clear,Clear,Clear,Rain,Clear,Clear,Clear
St. Nicholas Park,10030,40.8173411,-73.9433299,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
American Fine Arts Gallery,10013-2227,40.7217861,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Curt Marcus Gallery,10012-3210,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
China Institute,10021,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Poets House,10282,40.7167028,-74.0152027,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Hamilton Grange National Memorial,10031,40.8270209,-73.9506774,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Fantasy Forest Amusement Park at the Flushing Meadows Carousel,11368,40.7506343,-73.8477874,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Al Hirschfeld Theatre,10036-3802,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Sniffen Court Historic District,10016,40.74727,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
William Doyle Galleries,10128-2205,40.7826039,-73.9506774,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Franklin D. Roosevelt Four Freedoms Park,10044,40.7573053,-73.9550857,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Horticultural Society of New York,10019-2103,40.7686973,-73.9918181,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Americas Society,10021-5009,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Gorney Bravin + Lee,10001-5504,40.75368539999999,-73.9991637,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Rockefeller Center,10111,40.7591267,-73.97767689999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Radio City Music Hall,10020,40.7605505,-73.98226830000002,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Eugene O'Neill Theatre,10019-7405,40.7686973,-73.9918181,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Jane Kahan Gallery,10021-3576,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
St. Ann's Warehouse/Arts,11201,40.6986772,-73.9859414,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Howard S. Rose Gallery,10021-6527,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Nicole Klagsbrun Gallery,10001-5518,40.75368539999999,-73.9991637,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
BAX/Brooklyn Arts Exchange,11215,40.6681669,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Highbridge Park,10039,40.8288377,-73.9374517,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Church of the Transfiguration,10016-7405,40.74727,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Benedetti Gallery,10012-3309,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Good Morning America Studios,10112,40.7590788,-73.9795135,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Caren Golden Fine Art,10001-5517,40.75368539999999,-73.9991637,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Church of Saint Mary the Virgin,10036-8502,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Beacon Theatre,10023-1722,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Royale Theater,10036-3901,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Neil Simon Theatre,10019-5804,40.7686973,-73.9918181,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
General Theological Seminary,10011-4924,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Citicorp Center,10022-6004,40.7593941,-73.9697795,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Irish Hunger Memorial,10285,40.7136781,-74.0138618,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Corpus Christi Church,10027-5901,40.8138912,-73.96243270000001,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
J J Lally & Co. Oriental Art,10022-1908,40.7593941,-73.9697795,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Long Beach,11561,40.5895272,-73.6389038,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Winter Garden,10281,40.71111459999999,-74.0145738,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
United Palace,10033,40.8557765,-73.9447994,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Guardian Angel Church,10011-4709,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Kenneth W. Rendell Gallery,10021-1825,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Wall Street,10005,40.6998433,-74.0072436,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
New Amsterdam Theater,10036-7202,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Rubenstein Communications, Inc.,10105,40.7634529,-73.9798808,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Church of St. Michael,10025-5014,40.7999209,-73.96831019999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Asphalt Green,10128-6834,40.7826039,-73.9506774,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Riverside Park,10115,40.8108356,-73.96371839999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
John McEnroe Gallery,10013-5916,40.7217861,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Goudreau Museum of Mathematics in Art and Science,11040-1353,40.7466623,-73.6830521,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
The Metropolitan Museum of Art,10028-0198,40.77664120000001,-73.9521468,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Police Academy Museum,10003-1801,40.7322535,-73.9874105,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Christ and St. Stephen's Episcopal Church,10023-5194,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Federal Hall,10005-1996,40.6998433,-74.0072436,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Micro Museum,11201-6218,40.6986772,-73.9859414,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Maritime Industry Museum at Fort Schuyler,10465,40.8262186,-73.8242621,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Chrysler Building,10174,40.7517367,-73.9745547,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
New York Convention and Visitors Bureau,10019-5818,40.7686973,-73.9918181,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Holly Solomon Gallery,10011-2301,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Brooklyn Cyclones Baseball - MCU Park,11224,40.5749261,-73.9859414,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Lunt-Fontanne Theatre,10036-1409,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
